Austray 61
"k1","Matr2","SE","CILeft","CIRight"
"30",34,1.28197412026847,0.310924394539718,0.672562306970628,1.89138593356632
"31",35,1.25861172327506,0.300865747940403,0.668914857311871,1.84830858923825
"32",36,1.23875901337407,0.291978299537587,0.666481546280398,1.81103648046774
"33",37,1.22142556548594,0.283975675778149,0.664833240960766,1.77801789001111
"34",38,1.20662014331229,0.276817645680992,0.664057557777548,1.74918272884704
"35",39,1.18737194715072,0.268886797349262,0.660353824346165,1.71439006995527
"36",40,1.16832924575765,0.261246361361517,0.656286377489079,1.68037211402623
"37",41,1.14079860535024,0.251960261865767,0.646956492093337,1.63464071860715
"38",42,1.11547554534994,0.243416720116106,0.638378773922369,1.59257231677751
"39",43,1.0350839247645,0.22323194021131,0.597549321950331,1.47261852757867
"40",44,0.972117141208775,0.207256070887279,0.565895242269709,1.37833904014784
"41",45,0.923674531839737,0.194727689153552,0.542008261098774,1.3053408025807
"42",46,0.886152544985998,0.184775578682941,0.523992410767434,1.24831267920456
"43",47,0.838738381795936,0.17301851740741,0.499622087677413,1.17785467591446
"44",48,0.802739413238968,0.163858496571387,0.48157675995905,1.12390206651889
"45",49,0.765300246340043,0.154613998237366,0.462256809794806,1.06834368288528
"46",50,0.734526756897636,0.146905351379527,0.446592268193763,1.02246124560151
"47",51,0.7102750107968,0.140655411355637,0.434590404539753,0.985959617053848
"48",52,0.690813584320025,0.135479690257799,0.425273391414738,0.956353777225311
"49",53,0.66887890108122,0.12993452404985,0.414207233943513,0.923550568218927
"50",54,0.65110428789308,0.12530507862853,0.405506333781161,0.896702242004998
"51",55,0.636690682289991,0.121412149296952,0.398722869667966,0.874658494912016
"52",56,0.621549310338659,0.1174617787657,0.391324223957887,0.851774396719431
"53",57,0.605336893749903,0.113389989182619,0.38309251495197,0.827581272547836
"54",58,0.584677173030654,0.10857182537033,0.371876395304807,0.7974779507565
"55",59,0.558057967169268,0.102746799978393,0.356674239211618,0.759441695126918
"56",60,0.534466232141666,0.0975797371895944,0.343209947250061,0.725722517033271
"57",61,0.484968747585761,0.0878140147399655,0.312853278695429,0.657084216476094
Austray 61
"1",5,12.3156074333335,7.78907405156683,-2.95097770773749,27.5821925744045
"2",6,11.6245292290273,6.71142507958157,-1.5298639269526,24.7789223850072
"3",7,11.8254257146343,6.32095592527256,-0.563647898899925,24.2144993281685
"4",8,12.1898996537534,6.09494982687672,0.243797993075068,24.1360013144318
"5",9,12.1232583774952,5.714958805869,0.921939117991993,23.3245776369985
"6",10,9.40720094764805,4.2070281593883,1.16142575524699,17.6529761400491
"7",11,8.05807411426053,3.43597434721389,1.3235643937213,14.7925838347998
"8",12,6.44679664827194,2.63189371062518,1.28828497544658,11.6053083210973
"9",13,5.92574044195531,2.32426662661662,1.37017785378673,10.4813030301239
"10",14,5.70926534394779,2.15789946699507,1.47978238863745,9.93874829925813
"11",15,5.60791875294105,2.0477224010947,1.59438284679543,9.62145465908667
"12",16,5.33348294319178,1.88567097823685,1.63756782584756,9.02939806053599
"13",17,4.99191997407918,1.71221442539842,1.63597970029828,8.34786024786008
"14",18,4.73715303984891,1.57905101328297,1.64221305381429,7.83209302588353
"15",19,4.58565656205015,1.48778344862676,1.66960100274169,7.50171212135861
"16",20,4.46340390471629,1.41145224561926,1.69695750330253,7.22985030613004
"17",21,4.35346848975539,1.34350954384733,1.72018978381462,6.98674719569617
"18",22,4.22390136413818,1.27355417966515,1.72773517199448,6.72006755628188
"19",23,4.13020806629022,1.21793191324113,1.7430615163376,6.51735461624283
"20",24,4.05032101078808,1.16922696294145,1.75863616342284,6.34200585815332
"21",25,3.99112448460195,1.12886047504868,1.77855795350653,6.20369101569737
"22",26,3.91745342268797,1.08650609113411,1.78790148406512,6.04700536131082
"23",27,3.86452618629247,1.05179080600449,1.80301620652367,5.92603616606127
"24",28,3.82623549566165,1.02260445041993,1.82193077283858,5.83054021848472
"25",29,3.77229882847384,0.990654205695622,1.83061658531043,5.71398107163726
"26",30,3.72846973457438,0.962686745922998,1.84160371256531,5.61533575658346
"27",31,3.60851176314983,0.916562904403419,1.81204847051913,5.40497505578053
"28",32,3.51165959671445,0.877914899178612,1.79094639432437,5.23237279910453
"29",33,3.39487229222136,0.835759784267904,1.75678311505627,5.03296146938645
"30",34,3.23310613092299,0.784143416272209,1.69618503502947,4.77002722681652
"31",35,2.93575868238662,0.701780553458067,1.56026879760881,4.31124856716443
"32",36,2.6539364583902,0.62553882218864,1.42788036690047,3.87999254987994
"33",37,2.45310777060252,0.570335971833315,1.33524926580922,3.57096627539581
"34",38,2.26803563412167,0.520323059446608,1.24820243760632,3.28786883063702
"35",39,2.13437803957088,0.483341447277735,1.18702880290652,3.08172727623525
"36",40,2.00499601887807,0.448330739282781,1.12626776988382,2.88372426787232
"37",41,1.88689247179643,0.416744830399239,1.07007260421393,2.70371233937894
"38",42,1.79699485401515,0.392136425808121,1.02840745943123,2.56558224859907
"39",43,1.72623662249611,0.372289764418185,0.996548684236466,2.45592456075575
"40",44,1.65923204202415,0.353749459959731,0.965883100503078,2.35258098354522
"41",45,1.55615749737048,0.32806680597588,0.913146557657755,2.1991684370832
"42",46,1.47787999056911,0.308159280280194,0.873887801219933,2.08187217991829
"43",47,1.39598850239877,0.287970440181418,0.831566439643195,1.96041056515435
"44",48,1.33401047785293,0.272303748522169,0.800295130749475,1.86772582495638
"45",49,1.25537112275242,0.253623266801146,0.75826951982218,1.75247272568267
"46",50,1.08593001580272,0.217186003160544,0.660245449608055,1.51161458199739
"47",51,0.944727981268868,0.187084017886937,0.578043306210472,1.31141265632726
"48",52,0.83051153863525,0.162876713144812,0.511273180871419,1.14974989639908
"49",53,0.744731719831421,0.144669478144254,0.461179542668683,1.02828389699416
"50",54,0.686780951378244,0.132171055717512,0.42772568217192,0.945836220584568
"51",55,0.645098324171827,0.123015423696572,0.403988093726545,0.886208554617109
